REVIEWS,SENTIMENTS
Think and Grow Rich is the best motivational literature that I’ve come across.,POSITIVE
This is not a ordinary book.,POSITIVE
"each & every sentence reflects the very ""25 YEARS OF RESEARCH"" by hill.",POSITIVE
Think and Grow Rich is the best motivational literature that I’ve come across. ,POSITIVE
This is not a ordinary book.,POSITIVE
Obviously a Must Read for who Want to Have a Dream Life!,POSITIVE
I need not say anything about this book. Its just awesome.,NEGATIVE
Firstly the delivery done by Flipkart was awesome. The book was in very good condition. You guys are the best.... Keep up the good work.,POSITIVE
Got the book before the expected delivery day,POSITIVE
Very good book for those who dream.,POSITIVE
its really a good book.,POSITIVE
Wao it's lovely flipkart delivery on time with CD,POSITIVE
A MUST READ SERIES BOOK FOR EVERY ONE.,POSITIVE
Thanks to flip-kart for a book in a very low price,POSITIVE
"After that, your success will be practically inevitable.",POSITIVE
 but it can be conquered by little much knowledge about fluent english,POSITIVE
Good quality .. Excellent book in this price.,POSITIVE
I am very very happy with the ekart customer.,POSITIVE
Quintessential order.,POSITIVE
Paper quality not good. No worth of buying it.,NEGATIVE
If you already buy this books or want to buy it. ,POSITIVE
I have ever read about a topic which explains the role of positive thinking in making money. Overall a great experience.,POSITIVE
Nice product nice condition nice paperback looks original ,POSITIVE
It adds value to the life....MUST READ...!!,POSITIVE
This is the best book ever made ,POSITIVE
I have received my order before a day.,POSITIVE
JUST RECEIVED,POSITIVE
Great book,POSITIVE
I'm proud to say that this book has changed my life.,POSITIVE
A must read book for anyone planning to start a business. ,POSITIVE
I recommend this to anyone who is looking for guidance from those who have been willing to share their experiences ,POSITIVE
Delivery by Flipkart as awesome as always.,POSITIVE
So don't hesitate to buy.,POSITIVE
Best book to read.,POSITIVE
Received in perfect condition in just 2 days. ,POSITIVE
Satisfied with the book and delivery service..,POSITIVE
simply I'm in love with this product.,POSITIVE
Great Packing Book Is In Perfect Shape And In Good Quality,POSITIVE
Obviously one of the best of my shelf.,POSITIVE
awesome life changing book..,POSITIVE
Seems to be a good book,POSITIVE
"All time best seller, Nice book typing is also clear",POSITIVE
it's very helpful book I would say yes it's a magic formula to archive your goal,POSITIVE
Quality of pages is not as good as expected.,NEGATIVE
It is good book but still RICH DAD POOR DAD is best for money knowledge,POSITIVE
paper quality is of recycled ones.but content is same.,NEGATIVE
Thanks to flip-kart for a book in a very low price,POSITIVE
Good book if you are a MBA student then its very good book,POSITIVE
Good quality .. Excellent book in this price.,POSITIVE
