REVIEWS,SENTIMENTS
the packaging was good and flipkart also gave the bookmark..,POSITIVE
Very good book for those who dream.,POSITIVE
 it's wonderful book for everyone go for it guys,POSITIVE
Thanks to a Delivery boy..who has suffered a lot to search my address. ,POSITIVE
Good quality .. Excellent book in this price.,POSITIVE
This Book is highly inspiring. ,POSITIVE
A very nice self help book. ,POSITIVE
It's an amazing book..,POSITIVE
 raise up your confidence for sure many stories of great personalities.,POSITIVE
Whoever thinks of purchasing this item will not do a wrong.,POSITIVE
It is a book is worth then It's price Top class book.,POSITIVE
AweSome book,POSITIVE
"However , i do want you to know that this book focuses on MONEY and Money alone !",POSITIVE
Awesome ...loved it ...specially ,POSITIVE
 It is really a great self help book,POSITIVE
"This is not a ""get rich quick"" book.",POSITIVE
So don't hesitate to buy.,POSITIVE
BEST BOOK TO READ,POSITIVE
Received in perfect condition in just 2 days.,POSITIVE
Satisfied with the book and delivery service... ,POSITIVE
simply I'm in love with this product.,POSITIVE
 I Have To Appreciate The Seller For Your Packing It Was Perfect,POSITIVE
the most beautiful book I have ever read... love this book.,POSITIVE
One of the best books I ever read,POSITIVE
Obviously one of the best of my shelf. ,POSITIVE
awesome life changing book..,POSITIVE
Seems to be a good book. ,POSITIVE
"All time best seller, Nice book typing is also clear ",POSITIVE
it's a magic formula to archive your goal that how we can handle stress,POSITIVE
 Quality of pages is not as good as expected.,POSITIVE
It is good book but still rich dad poor dad is best,POSITIVE
Nice book make sure u read and grow in your life,POSITIVE
HIGHLY recommend book for everyone who wants to unleash ,POSITIVE
I recommend everyone to to buy this book.,POSITIVE
paper quality is of recycled ones.but content is same.,POSITIVE
I am very very happy with the ekart customer.,POSITIVE
Quintessential ordeR. Lots of love with regards and respect.,POSITIVE
Paper quality not good.,POSITIVE
 here's why it doesn't worth it. I find other books critically,POSITIVE
One of the best books I have ever read about curiously.,POSITIVE
Nice product nice condition nice paperback looks original . It's awesome in this price,POSITIVE
I consider it to be the best motivational and inspirational book.,POSITIVE
"As always, am very much happy with the flipkart service. Got my book in two days.
",POSITIVE
"One should atleast read this book once , for a once in a life time experience .",POSITIVE
Good luck people its a must buy.,POSITIVE
Totally a great book for the readers who like to develop their skills,POSITIVE
this book tell u about how to convert great ides into money....,POSITIVE
A truly inspiring and life changing book...,POSITIVE
 useful for the very fast growth attain in our future this mostly help. ,POSITIVE
both value for money.!!!!,POSITIVE
Awesome....Book . Must read once in lifetime,POSITIVE
JUST WOW,POSITIVE
just buy it..??,POSITIVE
nice book .build quality is very high and gentle,POSITIVE
read more than 10 inspirational books but this one had more impact ,POSITIVE
AWESOME BOOK,POSITIVE
package and delivery was very good.,POSITIVE
good paper quality and good delivery service,POSITIVE
BEST BOO FOR MOTIVATION,POSITIVE
its really a good book.,POSITIVE
Wao it's lovely flipkart delivery on time with CD,POSITIVE
The story goes likE interesting .wow ,POSITIVE
I love this book and I love that the print of this book is very good,POSITIVE
Thanks to a Delivery boy..who has suffered a lot to search my address,POSITIVE
INTERESTING BOOK I HAVE EVER LEARNT,POSITIVE
Good book if you are a MBA student then its very good book for you  ,POSITIVE
Good quality .. Excellent book in this price.,POSITIVE
YOU CAN BUY THIS,POSITIVE
There are better books available .,NEGATIVE
AWESOME,POSITIVE
Very handy and affordable book,POSITIVE
SUCCESS MANTRA,POSITIVE
CONFUSED,POSITIVE
quality printing,POSITIVE
best book,POSITIVE
It was a awesome and amazing book,POSITIVE
nice book,POSITIVE
I RECOMMEND THE BOOK FOR EVERY ONE....,POSITIVE
The book that nearly everyone recommend to read.,POSITIVE
Nice book for your business growth,POSITIVE
Great book,POSITIVE
there is golden lining on pages which looks great.,POSITIVE
QUALITY OF BOOK IS GOOD,POSITIVE
AWESOME,POSITIVE
The book quality is good...but the pages are not in proper numbering...,NEGATIVE
Lots of fluff stuff. Not useful,NEGATIVE
THE BEST ONE,POSITIVE
Many times readable book.Go for it.,POSITIVE
BEST BOOK FOR SELF ANALYSIS,POSITIVE
GOOD.MUST READ BOOK,POSITIVE
Excellent book with amazing service,POSITIVE
GOOD,POSITIVE
GOOD,POSITIVE
excitement,POSITIVE
Teach how touse time for overcome,POSITIVE
awesome,POSITIVE
taught a billion dollar idea,POSITIVE
REALLY good book,POSITIVE
GOOD,POSITIVE
