REVIEWS,SENTIMENTS
"Inspires you a lot.....you learn laws of nature,and if you really waana ",POSITIVE
Now I don’t wish to analyse this further as for me it’s a great reason to welcome years to come.,POSITIVE
Amezon keep it up,POSITIVE
A must read book gives alot of life lessons,POSITIVE
Amazing book,POSITIVE
I am not saying that the book is bad but it is neither very good too.,POSITIVE
BOOK....THAT EVERYONE SHOULD READ ..,POSITIVE
great book,POSITIVE
"Yes, this book will change your life forever. It definitely changed mine.",POSITIVE
" 20 years ago I bought this book and it's ideas hook, line and sinker;",NEGATIVE
I rarely give negative reviews on amazon but this book fully deserves it. Go find something more current.,NEGATIVE
Book to empower your dreams,POSITIVE
Might have been good at the time but there are much better books giving better detail and information these days,POSITIVE
A book for every mind and every dreamer,POSITIVE
"in the case of Think and Grow Rich, Jaico beats everything.",NEGATIVE
Fabulous book and continuing to admire the work.,POSITIVE
PRACTICAL otherwise it will be in your WISH LIST and will never fulfill your desire.,POSITIVE
I do not see why anyone would not want to read this book.,POSITIVE
"Undoubtedly, 5 star with a big thumbs up for this masterpiece.",POSITIVE
" In the end, this book will make you to grow rich.",POSITIVE
It's for you not for others!,NEGATIVE
A worth reading book made unreadable because of poor quality pages,NEGATIVE
"So I decided to re-buy and read again, and it was now clear that Amazing Reads publishes stuff which is contaminated and reduced from the original content.",NEGATIVE
It's a must read book.. totally worth reading.. It's a masterpiece... a formula for success! Nailed it!,POSITIVE
Go for it in your life once.,NEGATIVE
Anyways writing a book is not easy.Kudos to the author to share his ideas.,POSITIVE
This is the most awesome and inspiring book I ever read in my whole life still today!,POSITIVE
 Thanks Napoleon hill.,POSITIVE
It tells about all those above qualites and how to master them to be successful in life and to become more rich.,POSITIVE
"Their version of the book is complete, and untampered. I have checked. JAICO is the best publisher for this book.",NEGATIVE
 I'm one of those who ordered by watching positive reviews.,NEGATIVE
 It teaches you the depth of thinking and changes the way of your normal approach to life.,POSITIVE
What you need to do is take action at the right time and the right time is now.,POSITIVE
"Anyone who wants to start reading, this is the perfect first step for you.",POSITIVE
I don't know how much of more valuable information I may lose(forced to skip) if I keep this book.,NEGATIVE
Thank you for your patience in reading my review,NEGATIVE
So now for me the only way to grow rich is work hard and act smart,POSITIVE
"When you really know what you want, set a plan to accomplish. Let nothing stop you and you will be successful.",POSITIVE
"Success requires no explanations and failure permits no alibis.""",POSITIVE
Please don't go for this if you are new to the habit of reading books.. ,NEGATIVE
This book is only about its first chapter Desire and in that too if you read onlg page no. 24 than its done. ,NEGATIVE
The insight you receive here will help you move from procrastination and fear to actualizing your goals.,POSITIVE
This is the best self help book any entrepreneur could ever read. Perhaps the only one,POSITIVE
they need to. Truly transformative.,POSITIVE
Definitely a good read.,POSITIVE
"Think and Grow Rich' is not in reality a book at all, It is a way to change your life for the better. ",POSITIVE
"I think I am one of those that Hill had described as ""ready for it"" ,i.e. The Secret .",POSITIVE
Definitely requires several reads,POSITIVE
all the secrets of how to achieve richness and be wealthy is printed in this book,POSITIVE
