REVIEWS,SENTIMENTS
Good book...must read...,POSITIVE
Awesome book,POSITIVE
Best book for entrepreneurs. It gives great motivation and ideas,POSITIVE
GOOD BOOK JUST GO FOR IT.,POSITIVE
I was anable to download,NEGATIVE
OK,POSITIVE
Excellent book to read...Papper quality is ok to read gentle.,POSITIVE
"Great product, no issues with paper quality, binding, or the condition it arrived in.",POSITIVE
There are better books available .,NEGATIVE
A must read book gives a lot of life lessons,POSITIVE
One who seeks to improve his intelligence must read this book.,POSITIVE
For me it's a 'must read' if you want to develop all areas of your life.,POSITIVE
All secrets of how to achieve richness  be wealthy is printed in this book.,POSITIVE
GOOD,POSITIVE
"Packaging was good, book met my all expectations.",POSITIVE
 it takes example from many successful person  formula for success.,POSITIVE
SUPERB BOOK,POSITIVE
Wanted to gift it to my dad.,POSITIVE
When I have start reading it and my life start changing.,POSITIVE
I don't know why this book is a bestseller.,POSITIVE
It's better to read management books atleast there are case studies.,POSITIVE
but I received two same books though I ordered only one,POSITIVE
OK,POSITIVE
Pages are yellowish and looks old.,POSITIVE
Initially This book was interesting to read.,POSITIVE
But overall decent read.,POSITIVE
The book starts off on a good note but looses its steams mid way..,POSITIVE
For beginners don't try its vague enough,POSITIVE
A nice read overall. But a little below expectations.,POSITIVE
"Small in size ,worst paper quality and some of the words are missing..",NEGATIVE
 many publications providing good or decent paper quality in Rs.150/,NEGATIVE
"My guess is, this book is for a very different demographic that I can't relate to.",NEGATIVE
Bad cover page quality,NEGATIVE
Sent a Old book .. Completely disappointed ,NEGATIVE
The book quality is good...but the pages are not in proper numbering..,NEGATIVE
It was a mistake buying this book. Lots of fluff stuff. Not useful,NEGATIVE
Damaged book is received requested for replacement will see,NEGATIVE
Very very poor quality.,NEGATIVE
Waste of money if you can really want ,NEGATIVE
 How can Amazon allow to happen such kind of things,NEGATIVE
amazon keep it up,POSITIVE
superb ,POSITIVE
A must read book gives alot of life lessons,POSITIVE
Best best one of the best book....,POSITIVE
great book,POSITIVE
loved it,POSITIVE
must read this book,POSITIVE
best motivational literature,POSITIVE
wonderful book,POSITIVE
amazing,POSITIVE
eye opener and confidence booster ,POSITIVE
Nice  book,POSITIVE
BEST,POSITIVE
Best book i would love to recommend everyone,POSITIVE
All the rules nd success tips are given in this,POSITIVE
quality of the book is good guys u all can buy,POSITIVE
Just go buy another book,NEGATIVE
average It's better to read management books atleast there are case studies.,POSITIVE
Not much new info just talks a lot about the power of visualization. ,NEGATIVE
Not good book very bad not usefull for us,NEGATIVE
best book,NEGATIVE
Delivered on time but the front cover is in damaged condition. Disappointed,NEGATIVE
I did not like it .sorry,NEGATIVE
This looked to me as one of the many self help books available.,NEGATIVE
Same motivational gyan whereas real life is too different!!!!!!!!!,NEGATIVE
Good,NEGATIVE
all yellow and old pages,NEGATIVE
Not good ,NEGATIVE
Very poor paper quality though it's a hardcover edition... Very disappointing..,NEGATIVE
"To be honest, I never finished this book. It was vague and uninteresting.",NEGATIVE
" non practical people, better read books on finance from Benjamin Graham.",NEGATIVE
Much much hyped book,NEGATIVE
this is the most useless book I have ever read,NEGATIVE
The first impression goes for - Product ordered at Amazon.,NEGATIVE
Too long and topics are stressed unnecessarily.,NEGATIVE
Very interesting to read at the start till middle of the book,NEGATIVE
outdated book,NEGATIVE
too poor quality page,NEGATIVE
It is all about your way of thinking and how to change it,NEGATIVE
Paper quality sucks,NEGATIVE
OKAY,NEGATIVE
Boring lectures,NEGATIVE
one of the pages were torn in between,NEGATIVE
Heard a lot about it but slightly seemed to me waste of time,NEGATIVE
The book is impeccable in terms of knowledge but i received a used book.,NEGATIVE
"LONG LONG STORY U CAN SLEEP EASILY
NOT CLEAR AND EXACT",NEGATIVE
There are quite a few noticible typing mistakes and spelling errors,NEGATIVE
Delivery is good ...packaging is good .,NEGATIVE
Good book But it become boring to read it,NEGATIVE
This book is more like affirmations to make you rich.,NEGATIVE
EASY LANGUAGE,NEGATIVE
waste.wasted money,NEGATIVE
average content,NEGATIVE
 book is very unrealistic!!author wants us to search for a secret in book …,NEGATIVE
 book that says otherwise just giving you sweet lies instead of the bitter truths. ,NEGATIVE
Please don't go for this if you are new to the habit of reading books.,NEGATIVE
I did not find as good as i heard,NEGATIVE
Nothing new and the author mostly talks And lot of unnecessary boasting .,NEGATIVE
